
Using host libthread_db library "/lib64/libthread_db.so.1".
# CodeMeterLin SAMC opcode dispatch map
# Extracted from core.CodeMeterLin.477656.1776755891
# Singleton at static 0x20cbb88, *(singleton+0x20) = std::map-like tree
# Dispatcher function at static 0x5e36e0 (RB-tree find-and-tailjmp)
#
# opcode | handler struct (static) | fn ptr (static) | note
#----------------------------------------------------------------
  0x05    0x01e88068              0x00861cd0      
  0x0a    0x01e88628              0x00862420      
  0x0b    0x01e880a8              0x00861d10      
  0x10    0x01e886e8              0x0085dce0      
  0x11    0x01e88728              0x00862540      
  0x12    0x01e88128              0x00861df0      
  0x14    0x01e88168              0x00861e20      
  0x1d    0x01e881a8              0x00861e50      
  0x1f    0x01e881e8              0x00861e80      
  0x20    0x01e88228              0x00861ef0      
  0x21    0x01e88bf8              0x00862aa0      
  0x22    0x01e887a8              0x008625d0      
  0x23    0x01e88268              0x00861f80      
  0x24    0x01e883a8              0x00862110      
  0x32    0x01e882a8              0x00861fd0      
  0x33    0x01e882e8              0x00862040      
  0x34    0x01e888e8              0x00862790      
  0x35    0x01e887e8              0x00862630      
  0x36    0x01e88328              0x00862070      
  0x37    0x01e883e8              0x0085d380      
  0x46    0x01e88428              0x0085d6f0      
  0x47    0x01e88468              0x00862210      
  0x48    0x01e884a8              0x00862250      
  0x49    0x01e884e8              0x008622c0      
  0x50    0x01e88528              0x00862310      
  0x5a    0x01e88568              0x0085da00      
  0x5b    0x01e885a8              0x00862380      
  0x5c    0x01e888a8              0x00862740      
  0x5d    0x01e88828              0x008626c0      
  0x5e    0x01e88868              0x00862700      <-- TRIGGER for CVE-TBA
  0x64    0x01e88668              0x00862460      
  0x65    0x01e88368              0x008620a0      
  0x66    0x01e88b68              0x00862a40      
  0x67    0x01e88928              0x008627d0      
  0x69    0x01e88768              0x0085def0      
  0x6a    0x01e880e8              0x00861d80      
  0x6b    0x01e88b28              0x008629e0      
  0x6c    0x01e88bb8              0x00862a70      
  0x6d    0x01e889e8              0x008628a0      
  0x6e    0x01e88a68              0x00862920      
  0x6f    0x01e889a8              0x00862870      
  0x70    0x01e88a28              0x008628e0      
  0x71    0x01e88ae8              0x008629a0      
  0x72    0x01e88968              0x00862840      
  0x73    0x01e88aa8              0x00862960      
  0x74    0x01e885e8              0x008623d0      
  0x75    0x01e88c38              0x00862b00      
  0x76    0x01e88c78              0x00862b70      
  0x77    0x01e88cb8              0x00862ba0      
  0x78    0x01e88d08              0x00862bd0      
  0x7e    0x01e88d48              0x0085e0e0      
  0x7f    0x01e88d88              0x00862c20      
  0x80    0x01e88e08              0x0085e2c0      
  0x81    0x01e88ec8              0x00862d70      
  0x82    0x01e88dc8              0x00862c70      
  0x83    0x01e88f08              0x00862db0      
  0x84    0x01e88e48              0x00862ce0      
  0x85    0x01e88e88              0x00862d30      
  0x86    0x01e89058              0x00862e60      
  0x87    0x01e88f48              0x0085e4b0      
  0x88    0x01e89098              0x00862e90      
  0x89    0x01e88f88              0x0085e6a0      
  0x8a    0x01e89018              0x0085ea40      
  0x8b    0x01e88fd8              0x0085e860      
  0x8c    0x01e886a8              0x008624b0      
#
# Total opcodes: 65
